ID,Name,PhoneNumber,Address,CostRange,Cuisine
537,'CIRC',(608) 294-3031,'1 W Dayton St',1,"'Breakfast & Brunch,American (New)'"
538,'La Bamba',(608) 277-9522,'710 S Gammon Rd',1,'Mexican'
539,'Twist Bar & Grill',(608) 833-0110,'6617 Odana Rd',1,"'American (New),Sandwiches,Lounges'"
540,'Red Rock Saloon',(608) 709-5200,'322 W Johnson St',1,"'Pubs,Music Venues,Barbeque'"
541,'Kakilima Food Cart',,'Library Mall',1,"'Food Trucks,Indonesian'"
542,'Chasers Bar & Grille',(608) 512-0501,'319 W Gorham St',1,"'Bars,Burgers,Sandwiches'"
543,'Ten Pin Alley',(608) 616-4813,'6285 Nesbitt Rd',1,"'Bowling,Sports Bars,Pizza'"
544,'Robinia Courtyard',(608) 478-0181,'829 E Washington Ave',1,"'Venues & Event Spaces,Food Court,Beer Gardens'"
545,'Grand China Restaurant',(608) 827-7880,'2608 Allen Blvd',1,'Chinese'
546,'Mulligan’s Bar & Grill',(608) 835-6422,'830 Oregon Center Dr',1,"'American (Traditional),Sports Bars'"
547,'Noodles & Company',(608) 257-6393,'232 State St',1,"'Noodles,Salad,Pasta Shops'"
548,'Cafe Maya',(608) 283-9997,'45 S Bassett St',1,'Cafes'
549,'Fit 2 Eat',(608) 233-7192,'3742 Speedway Rd',1,"'American (New),Sandwiches'"
550,'Paul’s Neighborhood Bar',(608) 827-7285,'2401 Parmenter St',1,"'American (New),Bars'"
551,'Imperial Garden',(608) 238-6445,'2039 Allen Blvd',1,'Chinese'
552,'Bennett’s Meadowood Country Club',(608) 271-3827,'2009 Freeport Rd',1,"'Dive Bars,Burgers,Breakfast & Brunch'"
553,'Gino’s Italian Deli',(608) 827-0999,'6509 Century Ave',1,"'Delis,Italian'"
554,'Laredo’s',(608) 240-9701,'4001 Lien Rd',1,'Mexican'
555,'El Wiscorican',,'999 E Main St',1,''
556,'AJ’s Pizzeria & Diner',(608) 497-1303,'300 S Main St',1,"'Pizza,Italian'"
557,'Outback Steakhouse',(608) 241-0851,'4520 E Towne Blvd',1,'Steakhouses'
558,'Papino’s Italian Restaurant',(608) 846-9090,'6601 Traveler Trl',1,"'Italian,Pizza'"
559,'Monk’s Bar & Grill - Verona',(608) 497-3115,'1050 N Edge Trl',1,"'Sports Bars,American (Traditional)'"
560,'Edo Garden Hibachi',(608) 226-9828,'6309 Monona Dr',1,"'Japanese,Sushi Bars,Venues & Event Spaces'"
561,'Green Forest Family Restaurant',(608) 223-0886,'909 E Broadway',1,"'American (Traditional),Breakfast & Brunch,Desserts'"
562,'Main Depot Tavern',(608) 257-3100,'627 W Main St',1,"'Pubs,American (Traditional)'"
563,'World of Beer',(608) 833-5400,'8225 Greenway Blvd',1,"'American (Traditional),Beer Bar'"
564,'The Cheesecake Factory',(608) 824-2370,'1 W Towne Mall',1,"'Desserts,American (New)'"
565,'Hong Kong Station',(608) 661-8288,'1441 Regent St',1,'Chinese'
566,'Milio’s Sandwiches',(608) 233-3233,'2145 Regent St',1,'Sandwiches'
567,'The Egg & I',(608) 275-3447,'2501 W Beltline Hwy',1,"'Breakfast & Brunch,Cafes,American (Traditional)'"
568,'MacTaggarts Market',(608) 251-0911,'230 W Lakelawn Pl',1,"'Delis,Grocery'"
569,'Steenbock’s On Orchard',(608) 204-2733,'330 N Orchard St',1,"'American (New),Lounges'"
570,'Full Mile Beer Co & Kitchen',(608) 318-2074,'132 Market St',1,''
571,'Melted',(608) 284-8738,'100 E Main St',1,"'Food Trucks,Sandwiches'"
572,'Famous Dave’s Bar-B-Que',(608) 286-9400,'900 S Park St',1,"'Barbeque,Comfort Food,American (Traditional)'"
573,'Orient House',(608) 250-8880,'626 S Park St',1,'Chinese'
574,'Game Time Sports Bar and Grill',(608) 831-2401,'6862 County Road K',1,"'Sports Bars,American (Traditional)'"
575,'Lazy Oaf Lounge',(608) 441-0370,'1617 N Stoughton Rd',1,"'American (Traditional),Bars'"
576,'Culver’s',(608) 845-2010,'430 E Verona Ave',1,"'Ice Cream & Frozen Yogurt,Fast Food,Burgers'"
577,'Hong Kong Cafe',(608) 259-1668,'2 S Mills St',1,'Chinese'
578,'Chang Jiang',(608) 278-1818,'646 S Gammon Rd',1,'Chinese'
579,'Roman Candle Pizzeria',(608) 446-4200,'2623 Monroe St',1,"'Pizza,American (Traditional),Gluten-Free'"
580,'Hardee’s',(608) 831-6649,'3311 W Beltline Hwy',1,"'Fast Food,American (Traditional)'"
581,'Village Cafe',(608) 839-4141,'214 W Cottage Grove Rd',1,'Breakfast & Brunch'
582,'Asian Kitchen',(608) 255-0571,'449 State St',1,'Chinese'
583,'Pasqual’s Cantina',(608) 497-3333,'100 Cross Country Rd',1,"'Tex-Mex,Mexican,Bars'"
584,'Lucky’s 1313 Brew Pub',(608) 250-8989,'1313 Regent St',1,"'American (Traditional),Pubs'"
585,'Wando’s',(608) 256-5204,'602 University Ave',1,"'Bars,American (Traditional)'"
586,'Olive Garden Italian Restaurant',(608) 249-0340,'4320 E Towne Blvd',1,"'Italian,Salad'"
587,'1855 Saloon and Grill',(608) 839-3700,'218 S Main St',1,"'Bars,American (Traditional)'"
588,'Perkins Restaurant & Bakery',(608) 241-9123,'4863 Hayes Rd',1,"'Bakeries,Breakfast & Brunch,American (Traditional)'"
589,'Doughboys Pizza',(608) 850-4930,'246 N Century Ave',1,'Pizza'
590,'Culver’s',(608) 268-0211,'4401 Cottage Grove Rd',1,"'Burgers,Ice Cream & Frozen Yogurt,Fast Food'"
591,'Middleton Sport Bowl',(608) 831-5238,'6815 University Ave',1,"'Bowling,American (Traditional)'"
592,'The Rock Sports Bar and Grille',(608) 318-0137,'920 W Main St',1,"'Sports Bars,American (Traditional)'"
593,'Avantis Italian Restaurant & Pub',(608) 848-3315,'119 S Main St',1,"'Italian,Pubs'"
594,'Benvenuto’s Italian Grill',(608) 826-0555,'1109 Fourier Dr',1,"'Italian,Wine Bars,American (Traditional)'"
595,'Falbo Bros. Pizzeria',(608) 255-9090,'406 South Park St',1,'Pizza'
596,'Portillo’s Hot Dogs',(608) 819-2720,'4505 E Towne Blvd',2,''
597,'Pizza Ranch',(608) 848-3600,'100 Keenan Ct',1,"'Pizza,Chicken Shop,Buffets'"
598,'Spartan Pizza',(608) 838-8511,'5813 Main St',1,"'Pizza,Bars,Burgers'"
599,'Cousins Subs',(608) 222-7900,'5413 Monona Dr',1,"'Sandwiches,Delis,Salad'"
600,'Taste of Sichuan',(608) 819-6780,'515 State St',0,''
601,'Aldo’s Cafe',(608) 204-3943,'330 N Orchard St',1,"'Cafes,Sandwiches'"
602,'Marco’s Pizza',(608) 834-1414,'804 Windsor St',1,'Pizza'
603,'Pizza Ranch',(608) 825-6900,'682 S Grand Ave',1,"'American (New),Pizza'"
604,'Wingstop',(608) 258-9464,'1234 Regent St',1,'Chicken Wings'
605,'Chipotle Mexican Grill',(608) 242-7334,'4628 E Washington Ave',1,"'Mexican,Fast Food'"
606,'Erbert and Gerbert’s',(608) 825-8770,'900 Windsor St',1,"'Sandwiches,Soup,Fast Food'"
607,'Chang Jiang',(608) 825-9108,'984 W Main St',1,'Chinese'
608,'Papa Jimmy’s Pizzeria',(608) 839-3102,'224 W Cottage Grove Rd',1,'Pizza'
609,'Pizza Pit Extreme',(608) 271-3333,'6628 Odana Rd',1,"'Pizza,Chicken Wings,Sandwiches'"
610,'Topper’s Pizza',(608) 284-8484,'1368 Regent St',1,"'Pizza,Caterers'"
611,'Joon',(608) 216-4511,'1835 Monroe St',0,''
612,'Milio’s Sandwiches',(608) 826-0123,'306 Junction Rd',1,'Sandwiches'
613,'Laredo’s Mexican Restaurant',(608) 274-7370,'2935 S Fish Hatchery Rd',1,'Mexican'
614,'Potbelly Sandwich Shop',(608) 819-5022,'2245 Zeier Rd',1,"'Fast Food,Sandwiches,Salad'"
615,'Silver Eagle Bar & Grill',(608) 222-2843,'5805 Monona Dr',1,"'American (Traditional),Bars'"
616,'Hmong Legacy Market',(608) 416-5400,'2119 Fish Hatchery Rd',1,"'Grocery,Imported Food,Delis'"
617,'China Garden',(608) 478-5988,'120 E Main St',1,'Chinese'
618,'Ace’s Main Tap',(608) 835-3330,'121 S Main St',1,"'Bars,Burgers,American (Traditional)'"
619,'Milio’s Sandwiches',(608) 251-8444,'377 East Campus Mall',1,'Sandwiches'
620,'Red’s Pizza',(608) 836-9080,'3301 Parmenter St',0,''
621,'Jimmy John’s',(608) 275-7722,'6231 Mckee Rd',1,"'Delis,Sandwiches,Fast Food'"
622,'Glass Nickel Pizza - Fitchburg',(608) 478-2771,'3191 Muir Field Rd',1,"'Pizza,Sandwiches,Salad'"
623,'Chili’s',(608) 242-9300,'4344 E Towne Blvd',1,"'Bars,Tex-Mex,American (Traditional)'"
624,'China Wok Chinese Restaurant',(608) 849-9638,'204 S Century Ave',1,'Chinese'
625,'Señor Machetes',(608) 665-3031,'121 East Main St',1,''
626,'The Coliseum Bar & Banquet',(608) 251-2434,'232 E Olin Ave',1,"'American (Traditional),Diners,Sports Bars'"
627,'Pancheros Mexican Grill',(608) 238-3899,'3256 University Ave',1,'Mexican'
628,'Noodles & Company',(608) 244-4000,'4280 E Towne Blvd',1,"'Salad,Noodles,Pasta Shops'"
629,'Country Cafe',(608) 837-5191,'1030 Emerald Ter',1,"'Diners,Breakfast & Brunch,American (Traditional)'"
630,'Panera Bread',(608) 821-0001,'6637 Mineral Point Rd',1,"'Sandwiches,Salad,Soup'"
631,'Pancake Cafe',(608) 819-6865,'724 S Gammon Rd',1,"'American (Traditional),Breakfast & Brunch,Sandwiches'"
632,'Chili’s',(608) 833-8851,'7301 Mineral Point Rd',1,"'Bars,Tex-Mex,American (Traditional)'"
633,'Asian House',(608) 268-0005,'1 Dempsey Rd',1,'Chinese'
634,'Pizza Pit Extreme',(608) 251-4412,'1614 Monroe St',1,"'Pizza,Chicken Wings,Sandwiches'"
635,'Noodles & Company',(608) 276-7600,'2981 Triverton Pike Dr At McKee Rd',1,"'Salad,Noodles,Pasta Shops'"
636,'QDOBA Mexican Eats',(608) 280-8720,'548 State St',1,"'Mexican,Fast Food'"
637,'China Wok',(608) 240-9888,'1724 Fordem Ave',1,'Chinese'
638,'LJ’s Sports Tavern & Grill',(608) 286-1951,'8 N Paterson St',1,"'Sports Bars,American (Traditional)'"
639,'China Star',(608) 661-3920,'111 River Pl',1,'Chinese'
640,'Panera Bread',(608) 826-0808,'601 Junction Rd',1,"'Sandwiches,Salad,Soup'"
641,'Capitol Take-Out',(608) 283-4202,'114 E Main St',1,'American (Traditional)'
642,'Buckingham’s Bar & Grill',(608) 251-4744,'802 Regent St',1,"'Sports Bars,American (Traditional)'"
643,'The University Club',(608) 262-5023,'803 State St',1,"'Venues & Event Spaces,American (Traditional)'"
644,'Irish Pub',(608) 256-6071,'317 State St',1,"'Pubs,Irish,American (Traditional)'"
645,'QDOBA Mexican Eats',(608) 819-8910,'4718 E Towne Blvd',1,"'Mexican,Fast Food'"
646,'Little Caesar’s Pizza',(608) 274-9900,'3042 Fish Hatchery Rd',1,'Pizza'
647,'Habeneros',(608) 244-1992,'3001 N Sherman Ave',1,'Mexican'
648,'Happy Wok',(608) 221-1661,'2409 W Broadway',1,'Chinese'
649,'Chang Jiang',(608) 288-1888,'2935 S Fish Hatchery Rd',1,'Chinese'
650,'Red Robin Gourmet Burgers',(608) 223-1390,'6522 Monona Drive',1,"'Burgers,American (Traditional)'"
651,'Chipotle Mexican Grill',(608) 233-4305,'4000 University Ave',1,"'Mexican,Fast Food'"
652,'The Kollege Klub',(608) 257-3611,'529 N Lake St',1,"'American (New),Sports Bars'"
653,'China Kitchen',(608) 826-4432,'6608 Mineral Point Rd',1,'Chinese'
654,'Gooseberry on the Square',(608) 467-6552,'1 S Pinckney St',1,"'Breakfast & Brunch,American (Traditional),Bakeries'"
655,'Hooters',(608) 244-2319,'2639 E Springs Dr',1,"'Sports Bars,American (Traditional),Chicken Wings'"
656,'Milio’s Sandwiches',(608) 301-9999,'5534 E Park Blvd.',1,'Sandwiches'
657,'Panera Bread',(608) 354-0524,'656 W Washington Ave',1,"'Sandwiches,Salad,Soup'"
658,'Buffalo Wild Wings',(608) 255-9464,'789 University Avenue',1,"'Chicken Wings,American (Traditional),Sports Bars'"
659,'Outback Steakhouse',(608) 829-0505,'279 Junction Rd',1,'Steakhouses'
660,'Monkeyshines Bar & Grill',(608) 274-5339,'6209 McKee Rd',1,"'American (Traditional),Bars,Burgers'"
661,'Pedro’s Mexican Restaurante',(608) 241-8110,'3555 E Washington Ave',1,"'Mexican,Bars,Tex-Mex'"
662,'Barriques University',(608) 709-1164,'2505 University Ave',1,"'Cafes,Coffee & Tea,Sandwiches'"
663,'Cowboy Jack’s',(608) 841-1441,'1262 John Q Hammons Dr',1,''
664,'Panera Bread',(608) 442-9994,'3416 University Ave',1,"'Sandwiches,Salad,Soup'"
665,'Highland Corner Grill',(608) 233-8778,'2424 University Ave',1,"'American (Traditional),Burgers,Pizza'"
666,'VFW Day Post 7591',(608) 221-9326,'301 Cottage Grove Rd',1,"'American (Traditional),Fish & Chips'"
667,'Noodles & Company',(608) 829-0202,'7050 Mineral Point Rd And Gammon Rd',1,"'Salad,Noodles,Pasta Shops'"
668,'QDOBA Mexican Eats',(608) 827-7720,'6650 Mineral Point Rd',1,"'Fast Food,Mexican'"
669,'Denny’s',(608) 833-7070,'433 S Gammon Rd',1,"'Diners,Breakfast & Brunch,American (Traditional)'"
670,'Culver’s',(608) 839-0147,'1599 Landmark Dr',2,''
671,'Johnny’s Italian Steakhouse',(608) 856-4040,'1220 South Grand Ave',1,''
672,'Xiang Jiang',(608) 839-1666,'439 W Cottage Grove Rd',1,'Chinese'
673,'Nau-Ti-Gal',(608) 246-3130,'5360 Westport Rd',1,"'Seafood,Burgers,American (Traditional)'"
674,'Christy’s Landing',(608) 222-5391,'2952 Waubesa Ave',1,"'American (Traditional),Fish & Chips,Bars'"
675,'Dragon I',(608) 287-1551,'422 State St',1,'Chinese'
676,'Eagle Crest Bar',(608) 244-5413,'3710 County Rd T',1,"'Dive Bars,Burgers'"
677,'TGI Fridays',(608) 249-4544,'2502 E Springs Dr',1,'American (Traditional)'
678,'McDonald’s',(608) 841-1303,'8308 Greenway Blvd',1,"'Fast Food,Burgers,Coffee & Tea'"
679,'Dairy Queen Grill & Chill',(608) 273-2276,'3030 Fish Hatchery Rd',1,"'Ice Cream & Frozen Yogurt,Fast Food'"
680,'Buck & Badger',(608) 230-7999,'115 State St',1,"'Comfort Food,Bars'"
681,'Rosati’s Authentic Chicago Pizza',(608) 245-1111,'4933 Commercial Ave',1,'Pizza'
682,'Panera Bread',(608) 441-7666,'2627 E Springs Dr',1,"'Sandwiches,Salad,Soup'"
683,'The Boathouse',(608) 535-8232,'1001 Wisconsin Pl',1,"'American (Traditional),Sandwiches'"
684,'Tuscany Mediterranean Grill',(608) 270-1684,'2969 Cahill Main',1,"'Mediterranean,Italian,Greek'"
685,'Rocky Rococo Pan Style Pizza',(608) 256-0600,'1301 Regent St',1,"'Pizza,Italian,Chicken Wings'"
686,'Main Moon',(608) 838-9188,'4850 Larson Beach Rd',1,'Chinese'
687,'Dairy Queen',(608) 837-6011,'704 W Main St',1,"'Fast Food,Ice Cream & Frozen Yogurt'"
688,'Falbo Bros Pizzeria',(608) 827-7747,'2411 Allen Blvd',0,''
689,'Dairy Queen',(608) 833-2080,'7860 Mineral Point Rd',1,"'Ice Cream & Frozen Yogurt,Fast Food'"
690,'Chang Jiang',(608) 241-9798,'4929 Commercial Ave',1,'Chinese'
691,'Buffalo Wild Wings',(608) 268-0802,'240 East Towne Mall',1,"'Chicken Wings,American (Traditional),Sports Bars'"
692,'El Burrito Loco',,'On The Corner Of Main St And Martin Luther King Blvd',1,"'Street Vendors,Mexican'"
693,'QDOBA Mexican Eats',(608) 286-1416,'101 W Broadway Ave',1,"'Mexican,Fast Food'"
694,'Four Lakes Cafe',(608) 263-6400,'600 Highland Ave',1,'Cafes'
695,'Toppers Pizza',(608) 819-5555,'7850 Mineral Point Rd',1,"'Pizza,Desserts,Chicken Wings'"
696,'Quiznos',(608) 848-7388,'6611 McKee Rd',1,''
697,'Wendy’s',(608) 271-8789,'633 S Gammon Rd',1,"'Fast Food,Burgers'"
698,'A8 China',(608) 250-8888,'608 University Ave',1,'Chinese'
699,'Noodles & Company',(608) 226-9500,'6520 Monona Dr At Pier 37',1,"'Salad,Noodles,Pasta Shops'"
700,'Jimmy John’s',(608) 251-6789,'527 State St',1,"'Sandwiches,Fast Food,Delis'"
701,'Great China',(608) 244-9988,'619 N Sherman Ave',1,'Chinese'
702,'Noodles & Company',(608) 268-2900,'3600 University Ave And Midvale Blvd',1,"'Salad,Noodles,Pasta Shops'"
703,'China Inn',(608) 222-8829,'4702 Cottage Grove Rd',1,'Chinese'
704,'Firehouse Subs',(608) 318-6488,'390 S. Grand Ave.',2,''
705,'Pan y Pan',(608) 285-5232,'3737 Milwaukee St',1,"'Mexican,Bakeries'"
706,'El Charro Mexican Grill',(608) 850-9221,'1336 Montondon Ave',0,''
707,'Pizza Hut',(608) 442-4242,'520 S Park St',1,"'Italian,Pizza,Chicken Wings'"
708,'Moonstar',(608) 835-1828,'768 N Main',1,"'Chinese,Asian Fusion'"
709,'Faircrest Bakery & Cafe',,'6150 Mineral Point Rd',1,''
710,'Applebee’s Grill + Bar',(608) 244-1470,'4710 East Towne Blvd',1,"'Sports Bars,Burgers,American (Traditional)'"
711,'Taco John’s',(608) 221-4622,'6305 Monona Dr',1,"'Fast Food,Mexican'"
712,'El Panzon',(608) 819-6189,'1310 S Midvale Blvd',1,''
713,'McDonald’s',(608) 820-1112,'6910 Odana Rd',1,"'Fast Food,Burgers,Coffee & Tea'"
714,'Spring Garden Restaurant',(608) 850-3732,'225 S Century Ave',1,"'Diners,Mediterranean'"
715,'Milio’s Sandwiches',(608) 298-9553,'2932 Fish Hatchery Rd',1,'Sandwiches'
716,'Antlers Tavern',(608) 222-9872,'2202 W Broadway',1,''
717,'Rocky Rococo Pan Style Pizza',(608) 221-3818,'4556 Monona Dr',1,"'Pizza,Italian'"
718,'Pizza Pit',(608) 246-7733,'1860 E Washington Ave',1,'Pizza'
719,'Milio’s Sandwiches',(608) 241-4300,'2202 E Johnson St',1,'Sandwiches'
720,'IHOP',(608) 824-2020,'2229 Deming Way',2,''
721,'Burger King',(608) 294-6816,'719 W Badger Rd',1,"'Fast Food,Burgers'"
722,'Madison Cuisine',(608) 906-8888,'785 University Ave',2,''
723,'Papa John’s Pizza',(608) 244-7272,'2604 E Washington Ave',1,'Pizza'
724,'QDOBA Mexican Eats',(608) 218-9670,'2741 University Ave',1,"'Fast Food,Mexican'"
725,'Sa-Bai Thong Thai Cuisine',(608) 238-3100,'2840 University Ave',0,''
726,'IHOP',(608) 240-0838,'4614 E Washington Ave',1,"'Breakfast & Brunch,American (Traditional),Burgers'"
727,'Fit Fresh West',(608) 841-2233,'8066 Watts Rd',2,''
728,'Good Day Coffee Shop',(608) 251-0157,'101 S Webster St',2,''
729,'Papa Murphy’s',(608) 824-0600,'1005 North Gammon Road',1,'Pizza'
730,'Pancheros Mexican Grill',(608) 829-2222,'402 S Gammon Rd',1,'Mexican'
731,'Wendy’s',(608) 274-1319,'2858 Fish Hatchery Rd',1,"'Fast Food,Burgers'"
732,'Subway',(608) 846-0771,'6321 Rostad Cir',1,"'Fast Food,Sandwiches'"
733,'Jakarta Cafe',(920) 747-0646,'700 Block State St Library Mall',1,''
734,'Big Apple Bagels',(608) 837-3311,'1354 N. Bird St.',1,"'Breakfast & Brunch,Bagels,Delis'"
735,'dZi Little Tibet Mobile Cuisine & Catering',(608) 770-7751,'1219 N Sherman Ave',0,''
736,'Cali Fresh',(608) 770-6517,'Library Mall',1,"'Food Trucks,Mexican'"
737,'Hot-N-Spicy',(608) 405-3095,'4602 Monona Dr',2,''
738,'Subway',(608) 845-3699,'500 W Verona Ave',1,"'Fast Food,Sandwiches'"
739,'Little Tibet',(608) 630-8232,'827 E Johnson St',0,''
740,'Potbelly Sandwich Shop',(608) 819-3097,'3320 University Ave',2,''
741,'Falbo Bros. Pizzeria',(608) 204-2723,'1207 N Sherman Ave',1,'Pizza'
742,'Olive Lounge',(608) 255-5100,'9 E Wilson St',1,"'Lounges,Breakfast & Brunch,Cocktail Bars'"
743,'Pizza Oven',(608) 222-8722,'5417 Monona Dr',1,'Pizza'
744,'China Wok',(608) 826-0333,'6771 University Ave',1,"'Chinese,Seafood,Soup'"
745,'Martin O’Grady Irish Pub & Grill',(608) 833-4262,'7436 Mineral Point Rd',1,"'American (Traditional),Irish Pub'"
746,'Black Bear Inn',(608) 839-5222,'320 W Cottage Grove Rd',1,"'American (Traditional),Beer Bar'"
747,'Adamah Neighborhood Table',(608) 441-1574,'611 Langdon St',1,"'American (New),Kosher,Mediterranean'"
748,'Mad City Sandwiches',(608) 819-8818,'4914 Pflaum Rd',1,"'Sandwiches,Salad,Soup'"
749,'Hyderabad House - Madison',(608) 709-1151,'4738 E Washington Ave',0,''
750,'Jimmy John’s',(608) 819-6444,'1 N Randall Ave',1,"'Delis,Sandwiches,Fast Food'"
751,'Dragon City',(608) 848-3398,'600 W Verona Ave',1,'Chinese'
752,'UW Slow Food',(847) 345-7738,'1127 University Ave',0,''
753,'Papa John’s Pizza',(608) 257-7272,'515 University Ave',1,'Pizza'
754,'World Buffet',(608) 222-2962,'2451 W Broadway',1,"'Buffets,Chinese,Mongolian'"
755,'Tangent',(608) 819-6241,'803 E Washington Ave',2,''
756,'McDonald’s',(608) 257-1102,'1102 Regent St',1,"'Fast Food,Burgers,Coffee & Tea'"
757,'Buffalo Wild Wings',(608) 237-8686,'6544 Monona Drive',1,"'American (Traditional),Sports Bars,Chicken Wings'"
758,'The Globe',(608) 640-4435,'309 N Henry St',1,''
759,'The Winnebago',(608) 640-4380,'2262 Winnebago St',2,''
760,'Akari Sushi',(608) 422-5818,'811 South Gammon Rd',1,"'Japanese,Sushi Bars'"
761,'Buffalo Wild Wings',(608) 268-0025,'6227 McKee Rd',1,"'Chicken Wings,American (Traditional),Sports Bars'"
762,'Panera Bread',(608) 441-8883,'2960 Cahill Main',1,"'Sandwiches,Salad,Soup'"
763,'Senor Peppers',(608) 835-7930,'108 Janesville St',1,'Mexican'
764,'Domino’s Pizza',(608) 255-2222,'409 W Gorham St',1,"'Pizza,Chicken Wings,Sandwiches'"
765,'Oriental Wok',(608) 255-1288,'532 S Park St',1,'Chinese'
766,'Taco Bell',(608) 222-8007,'100 E Broadway',1,"'Fast Food,Tex-Mex,Mexican'"
767,'Noodles & Company',(608) 318-2221,'2812 Prairie Lakes Dr',1,"'Noodles,Salad,Pasta Shops'"
768,'Domino’s Pizza',(608) 825-3200,'1585 W Main St',1,"'Pizza,Chicken Wings,Sandwiches'"
769,'Little Caesar’s Pizza',(608) 273-8800,'700 S Gammon Rd',1,'Pizza'
770,'Boulder Brew Pub',(608) 845-3323,'950 Kimball Ln',1,''
771,'Whiskey Jacks Saloon',(608) 819-8881,'552 State St',1,"'Bars,Burgers,Sandwiches'"
772,'Rock’n Rollz',(608) 838-3444,'5208 Farwell St',1,"'Pizza,Sandwiches'"
773,'Sabores Michoacanos',(608) 665-3324,'3050 Cahill Main',1,"'Ice Cream & Frozen Yogurt,Mexican,Juice Bars & Smoothies'"
774,'QDOBA Mexican Eats',(608) 442-9400,'5401 Caddis Bend Rd',1,"'Mexican,Fast Food'"
775,'Denny’s',(608) 222-8822,'1201 E Broadway',1,"'Diners,American (Traditional),Breakfast & Brunch'"
776,'Cuco’s Mexican Restaurant',(608) 850-6180,'350 N Century Ave',1,'Mexican'
777,'IHOP',(608) 236-4200,'2825 University Ave',1,"'Breakfast & Brunch,American (Traditional),Burgers'"
778,'Glass Nickel Pizza - Sun Prairie',(608) 709-2514,'815 W Main St',1,"'Pizza,Sandwiches,Salad'"
779,'Mc Govern’s Club and Restaurant',(608) 837-9997,'820 W Main St',1,"'Steakhouses,Burgers,Sandwiches'"
780,'Arby’s',(608) 240-4427,'4002 E Washington Ave',1,"'Fast Food,Sandwiches'"
781,'Arby’s',(608) 222-2400,'4 Collins Ct',1,"'Fast Food,Sandwiches'"
782,'Dairy Queen',(608) 238-4511,'2856 University Ave',1,"'Ice Cream & Frozen Yogurt,Fast Food'"
783,'Fair Oaks Diner',(608) 249-7076,'44 S Fair Oaks Ave',1,'Diners'
784,'Milio’s Sandwiches',(608) 826-0011,"'462 Commerce Drive, Ste. B'",0,''
785,'QDOBA Mexican Eats',(608) 251-0238,'2 N Park St',1,"'Mexican,Fast Food'"
786,'Chang Jiang Restaurant',(608) 848-8989,'3195 Muir Field Rd',1,'Chinese'
787,'Tully’s II Food & Spirits',(608) 222-4995,'6401 Monona Dr',1,"'American (Traditional),Bars'"
788,'Culver’s',(608) 838-6667,'4700 Farwell St',1,"'Fast Food,Ice Cream & Frozen Yogurt,Burgers'"
789,'Connections',(608) 249-7837,'3737 East Washington Ave',1,"'Pubs,Fish & Chips,American (Traditional)'"
790,'Rocky Rococo Pan Style Pizza',(608) 251-0304,'1618 W Beltline Hwy',1,'Pizza'
791,'Cousins Subs',(608) 827-0440,'8430 Old Sauk Rd',1,"'Sandwiches,Delis'"
792,'The Red Zone Madison',(608) 251-6766,'1212 Regent St',1,"'Sports Bars,American (Traditional),Music Venues'"
793,'Subway',(608) 442-6011,'5957 McKee Rd',1,"'Sandwiches,Fast Food'"
794,'The Kingdom Restaurant',(608) 286-1238,'1865 Northport Dr',2,''
795,'Steak Escape West Towne Mall',(608) 833-9771,'118 W Towne Mall',1,"'Cheesesteaks,Sandwiches'"
796,'Subway',(608) 246-9090,'1860 E Washington Ave',1,"'Sandwiches,Fast Food'"
797,'Mad Town Gastropub',,'4000 International Ln',1,'Gastropubs'
798,'Five Guys',(608) 244-5016,'2253 Zeier Rd',1,"'Burgers,Fast Food'"
799,'Topper’s Pizza',(608) 274-4444,'6291 Mckee Rd',1,'Pizza'
800,"'MOOYAH Burgers, Fries & Shakes'",(608) 318-2777,'695 S Grand Ave',2,''
801,'Jimmy John’s',(608) 242-0736,'1791 Thierer Rd',1,"'Fast Food,Delis,Sandwiches'"
802,'Domino’s Pizza',(608) 824-0800,'6915 University Ave',1,"'Pizza,Chicken Wings,Sandwiches'"
803,'Chang Jiang',(608) 848-8898,'1017 N Edge Trl',1,'Chinese'
804,'Hy-Vee Market Grille',,'3801 E Washington Ave',1,"'Sports Bars,Cafes'"
805,'Taco Bell',(608) 825-2960,'2005 McCoy Rd',1,"'Fast Food,Mexican,Tex-Mex'"
806,'Papa John’s Pizza',(608) 848-8580,'6619 McKee Rd',1,'Pizza'
807,'Pizza Pit',(608) 222-5001,'13 Atlas Ct',1,"'Pizza,Chicken Wings'"
808,'Pizza Pit Extreme',(608) 278-1800,'2936 Fish Hatchery Rd',1,'Pizza'
809,'Applebee’s Grill + Bar',(608) 271-5450,'660 South Whitney Way',1,"'Sports Bars,Burgers,American (Traditional)'"
810,'Culver’s',(608) 849-6599,'900 E Main St',1,"'Fast Food,Ice Cream & Frozen Yogurt,Burgers'"
811,'Heartland Grill',(608) 258-9505,'706 John Nolen Dr',1,'American (Traditional)'
812,'Hody Bar & Grill',(608) 831-1901,'1914 Aurora St',1,"'Bars,American (Traditional),Music Venues'"
813,'Taco Bell Cantina',(608) 256-0056,'534 State St',1,"'Fast Food,Mexican'"
814,'Rev. Jim’s Roadhouse',(608) 310-4230,'6402 Millpond Rd',1,"'Sports Bars,American (Traditional)'"
815,'Taste of China',(608) 224-0017,'5415 Monona Dr',1,"'Chinese,Seafood,Soup'"
816,'Milio’s Sandwiches',(608) 850-3543,'242 N Century Ave',1,'Sandwiches'
