Address,CostRange,Cuisine,Name,PhoneNumber,ZipCode
2639 East Springs Drive,1,"American,Burger,Bar Food",Hooters,(608) 244-2319,53704
"6209 McKee Rd, Fitchburg",1,"Burger,Pizza,Bar Food",Monkeyshines,(608) 274-5339,53719
"505 W North St, De Forest",1,American,DE Forest Family Restaurant,(608) 846-6910,53532
"2 W Fulton Street, Edgerton",2,Mexican,El Patron Mexican Grill,(608) 561-6400,53534
"328 W Gorham St, Madison",1,Sandwich,Silver Mine Subs,(608) 286-1000,53703
"3248 University Ave, Madison",2,German,Vom Fass,(608) 204-0300,53705
"117 East Mifflin St, Madison",2,Korean,Sol's on the Square,(608) 251-0116,53703
"514 Plaza Drive, Marshall",2,Chinese,Dragon Chinese Restaurant,(608) 655-1388,53559
"119 W Main St, Belleville",2,American,Borland's,(608) 424-3013,53508
"208 State St, Madison",1,Coffee and Tea,Espresso Royale Caffe,(608) 259-0800,53703
"6010 US Highway 51, Mc Farland",2,American,Maple Tree Restaurant,(608) 838-5888,53558
4863 Hayes Road.,1,American,Perkins Restaurant & Bakery,(608) 241-9123,53704
"3112 Parmenter St, Middleton",3,"Breakfast,Seafood,Steak",Fitzgerald's of Middleton,(608) 831-7107,53562
"2177 Deming Way, Middleton",1,Sandwich,Which Wich,(608) 836-9424,53562
"101 Concord Dr, Oregon",1,"Burger,Bar Food",Headquarters Bar & Grill,(608) 291-0750,53575
"4738 E Washington Ave, Madison",1,Mexican,Labamba,(608) 268-4670,53704
"109 E Main St, Waunakee",1,Burger,Gold Nugget Bar,(608) 849-7730,53597
"W9644 US Highway 12, Cambridge",1,American,Lake Ripley Family Restaurant,(608) 423-4523,53523
"W10960 Corning St, Poynette",1,"Burger,Bar Food,Seafood",Lakeside Bar & Grill,(608) 635-2959,53955
"1405 Emil St, Madison",1,Bar Food,Licari's Tavern,(608) 256-3548,53713
"1755 County Road Pb, Verona",1,Bar Food,Old Duffer's Pub,(608) 848-5267,53593
"4738 E Washington Ave, Madison",1,Indian,Fast Biryani,(608) 422-5099,53704
7301 Mineral Point Road,2,American,Chili's,(608) 833-8851,53717
"1914 Aurora St, Middleton",1,Bar Food,Hody Bar & Grill,(608) 831-1901,53562
"610 Junction Rd, Madison",1,"American,Burger",Mr. Brews Taphouse,(608) 824-9600,53717
"2144 Atwood Ave, Madison",1,American,Wilson's Bar,(608) 241-2226,53704
"3801 East Washington Avenue, Madison",1,"American,Asian,Italian",Hy-Vee,(608) 244-4696,53704
"1034 Windsor St, Sun Prairie",1,Diner,Prairie Diner,(608) 837-3400,53590
"1118 Main St, Cross Plains",1,"American,Burger",Monk's Retreat,(608) 798-3781,53528
"902 Regent St, Madison",1,Sandwich,Capriotti's Sandwich Shop,(608) 255-2227,53715
"617 E North St, Poynette",1,American,Owl's Nest,(608) 635-2298,53955
"1201 North Sherman Avenue, Madison",1,American,Northside Cafe,(608) 244-5663,53704
"1008 East Broadway, Monona",1,American,Tower Inn,(608) 222-7855,53716
"1109 Fourier Dr, Middleton",2,Italian,Benvenuto's Italian Grill,(608) 826-0555,53717
"2 E Mifflin St, Madison",1,Vegetarian,Igo Vego,(608) 658-7081,53703
"10992 Division St, Blue Mounds",1,"American,Breakfast,Pizza",Hooterville Inn,(608) 437-5444,53517
"726 S Main Street, Jefferson",1,"Burger,Desserts",The Corner,(920) 674-4033,53549
"5805 Monona Dr, Monona",2,"American,Burger,Bar Food",Silver Eagle Bar & Grill,(608) 222-2843,53716
"10 South Allen St, Madison",1,"Desserts,Southern",Humble. Sweet & Savory Pies,(608) 630-9130,53726
"1511 Williamson St, Madison",1,"BBQ,Southern",That BBQ Joint,(608) 709-1300,53703
"217 W Main St, Cambridge",1,"Coffee and Tea,Sandwich",CamRock Cafe & Sport,(608) 423-2111,53523
"612 Water St, Prairie Du Sac",1,,Que's Bar & River Deck,(608) 370-6033,53578
"330 West Main Street, Sun Prairie",2,"Pizza,Sandwich",Pizza Pit Sun Prairie,(608) 825-2818,53590
"2326 Atwood Ave, Madison",1,"Coffee and Tea,Beverages",Cafe Zoma,(608) 246-2009,53704
"334 E Main St, Stoughton",1,American,Main Street Kitchen,(608) 873-5113,53589
119 King Street,3,"American,Burger,Bar Food",Madison's,(608) 229-0900,53703
"1835 Monroe St, Madison",1,"BBQ,Southwestern,Cajun",Double S BBQ,(608) 886-8292,53711
"15 N Broom St, Madison",2,Mexican,A La Brasa,(608) 251-1700,53703
"2451 W Broadway, Monona",1,Chinese,World Buffet,(608) 222-2962,53713
"222 W Gorham Street, Madison",1,American,Hop Cat,(608) 807-1361,53703
"621 State Route 59, Edgerton",1,Breakfast,Blue Gilly's,(608) 884-6175,53534
300 North Century Avenue,1,"Fast Food,Pizza",Pizza Hut,(608) 849-8484,53597
"449 State Street, Madison",1,"Breakfast,Mediterranean,Vegetarian",Pita Pit,(608) 819-6722,53703
"10267 US Hwy 14, Mazomanie",1,"American,BBQ,Burger",Rookies Food & Spirits,(608) 767-5555,53560
"5016 Erling Ave, Mc Farland",1,American,Park Side Pub,(608) 838-6045,53558
"409 N Ludington St, Columbus",1,Coffee and Tea,Julie's Java,(920) 623-5540,53925
"641 N Ludington St, Columbus",1,"Burger,Desserts",Mullin's Short Stop,(920) 623-2080,53925
"E Main St & S Pinckney St, Madison",1,"Sandwich,Vegetarian",Good Food,(608) 217-5227,53703
"605 N Sherman Ave, Madison",1,,Drackenbergs Cigar and Wine,(608) 513-2596,53704
"4426 Buckeye Rd, Madison",2,Mexican,Cucos Mexican restaurant,(608) 204-2705,53716
"2013 Winnebago St, Madison",1,Bar Food,Players Sports Bar & Grill,(608) 244-9722,53704
"800 Langdon Street, Madison",1,Coffee and Tea,Peet's Coffee &Tea,(608) 265-3000,53706
"4516 Winnequah Road, Monona",1,"Burger,Desserts,Sandwich",Monona Bait & Ice Cream,(608) 222-1944,53716
600 West Main Street,1,Fast Food,KFC,(608) 849-5004,53597
"2611 Branch St, Middleton",1,"American,Bar Food",Bristled Boar Saloon & Grill,(608) 831-0436,53562
"1234 Regent St., Madison",1,"American,Bar Food",Wingstop,(608) 258-9464,53715
"2001 Atwood Ave, Madison",1,"Pizza,Bar Food",One Barrel Brewing Company,(608) 630-9286,53704
"4102 Monona Dr., Monona",1,American,Elie's Family Restaurant,(608) 223-2040,53716
"3001 North Sherman Avenue, Madison",1,Mexican,Habanero's Mexican Grill,(608) 244-1990,53704
"627 W Main St, Madison",1,"American,Burger,Pizza",Main Depot,(608) 257-3100,53703
"852 Williamson St, Madison",1,Bar Food,Willy Street Pub & Grill,(608) 256-8211,53703
"2125 Mccomb Rd, Stoughton",1,Sandwich,Jacobson Deli,(608) 873-3334,53589
"2236 Winnebago St, Madison",1,American,Woody & Anne's,(608) 249-5157,53704
"103 County Road Id, Barneveld",1,,1000 Island,(608) 924-1121,53507
"230 W Lakelawn Pl, Madison",1,Sandwich,Mac Taggarts Market,(608) 251-0911,53703
"532 S Park St, Madison",1,"Chinese,Japanese",Oriental Wok,(608) 255-1288,53715
"225 South Century Avenue, Waunakee",1,"American,Diner,Mediterranean",Spring Garden,(608) 850-3732,53597
"422 State Street, Madison",1,"Asian,Chinese,Korean",Dragon I,(608) 287-1551,53703
"1965 Barber Dr, Stoughton",2,American,Halverson's Supper Club,(608) 873-3001,53589
"224 Dix St, Columbus",1,"American,Breakfast,Mexican",Columbus Family Restaurant,(920) 623-2440,53925
430 South Gammon Road,1,Fast Food,Chick-Fil-a,(608) 833-4344,53719
"710 S Gammon Rd, Madison",1,Mexican,La Bamba,(608) 277-9522,53719
"6401 Monona Dr, Monona",1,American,Tully's II Food & Spirits,(608) 222-4995,53716
214 West Cottage Grove Road Ste 2,1,American,Village Cafe,(608) 839-4141,53527
"323 W Beltline Hwy, Madison",1,Bar Food,Pitcher's Pub,(608) 271-9702,53713
"213 Washington St, Fort Atkinson",3,Mexican,El Mariachi,(920) 397-7652,53538
"108 W Towne Mall Ste 157, Madison",1,Asian,Kato's Cajun,(608) 836-0818,53719
"3050 Cahill Main, Fitchburg",1,Sandwich,Chimmie's,(608) 270-2099,53711
"541 Vernal Ave, Milton",1,American,Milton Family Restaurant,(608) 868-4611,53563
"544 State St Ste 1, Madison",1,Coffee and Tea,Steep & Brew,(608) 256-2902,53703
300 South. Main Street,1,Pizza,AJ's Pizzeria & Diner,(608) 497-1303,53593
"601 North St, Madison",1,"American,Bar Food",Tip Top Tavern,(608) 249-2468,53704
"402 S Gammon Road, Madison",1,"Mexican,Southwestern",Pancheros Mexican Grill,(608) 829-2222,53719
"200 5th Avenue, New Glarus",2,"American,Breakfast,Burger",Tofflers,(608) 527-2490,53574
"1900 Cayuga St Ste 101, Middleton",2,"Japanese,Sushi",Takara 88,(608) 203-8866,53562
"101 Jackson Street, Sauk City",1,Pizza,Woodshed Ale House,(608) 370-8200,53583
"962 Mulberry St, Lake Mills",1,"American,Pizza",Lake Mills Family Restaurant,(920) 648-5414,53551
"2952 Fish Hatchery Rd, Fitchburg",1,"Burger,Bar Food",Tony Frank's Tavern,(608) 271-3644,53713
"4601 Verona Rd, Madison",1,"Burger,Greek,Sandwich",Gyro House,(608) 310-8138,53711
"121 S Main St, Oregon",1,American,Rosie's Main Tap Incorporated,(608) 835-3330,53575
"3900 Dempsey Rd, Madison",1,Bar Food,Mike's Horseshoe Bar & Grill,(608) 221-4831,53716
1272 Park Street,1,Chinese,Mini Hot Pot,(608) 709-6558,53713
"538 S Main St, Fall River",1,American,Cj's Bar,(920) 484-3888,53932
"411 Prairie Heights Dr, Verona",1,American,Heights Event Center,(608) 848-8777,53593
"4814 Annamark Dr, Madison",1,Fast Food,Hardee's,(608) 242-4032,53704
"2952 Waubesa Ave, Madison",1,"Burger,Pizza,Sandwich",Christy's Landing,(608) 222-5391,53711
"3735 Monona Dr, Monona",1,American,East Side Club,(608) 222-9131,53714
"637 W North St, De Forest",1,"American,Burger,Pizza",Sunset Grill,(608) 846-9112,53532
"301 N Century Ave, Waunakee",3,American,Rex's Innkeeper,(608) 849-5011,53597
"2302 Packers Avenue, Madison",1,"American,Bar Food",Villa Tap,(608) 244-9627,53704
"N1655 US Highway 12, Fort Atkinson",2,"American,Greek",Sammy's Place,(920) 563-5538,53538
"1017 S Park St, Madison",1,Asian,Asian Sweet Bakery,(608) 665-3988,53715
"240 West Gilman Street, Madison",2,"Burger,Pizza",The Side Door Grill and Tap,(608) 257-3300,53703
"219 S Main St, Fort Atkinson",1,American,Fat Boyz,(920) 563-3051,53538
"6862 County Rd K, Middleton",1,"Burger,Sandwich",Game Time Sports Bar,(608) 831-8985,53562
"2810 E Washington Ave, Madison",1,Mexican,Happy Grill,(608) 249-5828,53704
"827 Johnson St, Madison",1,American,Spot,(608) 251-7768,53703
2005 McCoy Road,1,Fast Food,Taco Bell,(608) 825-2960,53590
"800 S Main St, Lake Mills",1,"Burger,Bar Food,Sandwich",Mulligan's at Lake Mills Golf Club,(920) 648-5013,53551
"4702 Cottage Grove Rd, Madison",1,Chinese,China Inn,(608) 222-8829,53716
"602 South Park street, Madison",2,,Inca Heritage,(608) 310-4282,53715
"2828 Prairie Lakes Dr, Sun Prairie",1,Sandwich,Which Wich,(608) 825-1001,53590
"675 South Whitney Way, Madison",1,"American,Italian",Hy-Vee Market Cafe',(608) 277-6735,53711
"802 Regent St, Madison",1,"Burger,Bar Food,Sandwich",Buckingham's Madison,(608) 251-4744,53715
"176 East Main Street, Stoughton",2,American,Big Sky Restaurant,(608) 205-6278,53589
"W9535 US Highway 12, Cambridge",1,American,Sports Page,(608) 423-7111,53523
"1 Dempsey Rd, Madison",1,"Asian,Chinese",Asian House,(608) 268-0005,53714
"631 S Main St, De Forest",1,Chinese,Chang Jiang Chinese Kitchen,(608) 846-8789,53532
"700 S Gammon Rd, Madison",1,"Fast Food,Pizza",Little Caesars Pizza,(608) 273-8800,53719
"7866 Mineral Point Rd, Madison",1,,Silly Yak Bakery & Bread Barn,(608) 833-5965,53717
18 6th Avenue,1,Sandwich,Puempel's Olde Tavern,(608) 527-2045,53574
"3826 Atwood Ave, Madison",1,"American,Burger,Desserts",Michael's Frozen Custard,(608) 222-4110,53714
651 West Main Street,1,Fast Food,McDonald's,(608) 849-6741,53597
"315 Parkview Dr, Milton",1,Diner,Park View Cafe,(608) 868-9727,53563
"1525 Janesville Ave, Fort Atkinson",1,Chinese,China Buffet,(920) 563-6000,53538
"520 Springdale St, Mount Horeb",2,American,Spring Garden Restaurant,(608) 437-7470,53572
"322 W Johnson St, Madison",1,"BBQ,Bar Food",Red Rock Saloon,(608) 709-5200,53703
"508 State St, Madison",2,Asian,Soga,(608) 819-6780,53703
"1019 River St, Belleville",2,"Italian,Pizza,Sandwich",Sugar River Pizza,(608) 424-6777,53508
2147 East Springs Drive,1,American,Cracker Barrel Old Country Store,(608) 242-0560,53704
"1030 Emerald Ter, Sun Prairie",1,American,Country Cafe,(608) 837-5191,53590
"990 Janesville Street, Oregon",1,Sandwich,Cousins Subs,(608) 291-0900,53575
811 Williamson Street,1,Sandwich,Underground Butcher,(608) 338-3421,53703
525 Water Street,1,Coffee and Tea,The Mixing Bowl Bakery,(608) 370-7437,53583
"1441 Regent St, Madison",1,Chinese,Hong Kong Station,(608) 661-8288,53711
"2439 Atwood Avenue, Madison",2,Bar Food,Next Door Brewing Company,(608) 729-3683,53704
"4605 Monona Dr, Monona",1,Bar Food,Snicks Sportsman Bar,(608) 661-2812,53716
"400 N Broom St, Madison",1,Desserts,Fried and Fabulous,,53703
"511 State Street, Madison",1,,Madison Sweets,(608) 630-9030,53703
"4691 County Highway N, Cottage Grove",1,"Coffee and Tea,Sandwich",SchoolGrounds Cafe,(608) 228-9488,53527
118 Merchant Row,3,"American,Seafood,Steak",Fredrick's Supper Club,,53563
"124 W Fulton St, Edgerton",1,Pizza,Red Baron Tavern,(608) 884-0211,53534
"213 E Towne Mall, Madison",1,Steak,Steak Escape,(608) 241-7793,53704
"W7905 High Ridge Rd, Fort Atkinson",1,"Burger,Pizza,Sandwich",Sunset Bar and Grille,(920) 563-5702,53538
"2005 N Sherman Ave, Madison",1,Pizza,Busse's Markway Tavern Incorporated,(608) 244-0320,53704
"600 Williamson St., Madison",1,Thai,Bangkok Cuisine,(608) 250-6280,53703
"8640 W Mineral Point Rd, Cross Plains",1,"Burger,Bar Food",Morgan's Bar and Grill,(608) 798-1552,53528
"114 2nd St, New Glarus",1,Bar Food,Flannery's Wilhelm Tell Club,(608) 527-2618,53574
"19 E Main St, Evansville",2,American,Night Owl Food & Spirits,(608) 882-9973,53536
"1902 Bartillon Dr, Madison",1,Bar Food,Callahan's Sports Pub,(608) 241-0147,53704
"4321 Vilas Rd., Cottage Grove",2,American,Door Creek Golf Course Restaurant,(608) 839-5656,53527
"305 Madison Avenue, Fort Atkinson",1,Chinese,China One,(920) 568-0888,53538
"568 Haugen Rd, Edgerton",1,"American,Sandwich",Edgerton Oasis/Winchester Restaurant,(608) 884-8800,53534
"1022 W. Johnson St., Madison",1,"Coffee and Tea,Sandwich",Java Den at 1022,(608) 259-9448,53715
6611 McKee Road,1,"Fast Food,Sandwich",Quiznos,(608) 848-7388,53719
"E11394 US Hwy 12, Sauk City",1,American,Black Hawk Family Restaurant,(608) 644-8300,53583
"2825 University Ave, Madison",2,"Italian,Pizza,Sandwich",Itzza Pizza,(608) 233-3500,53705
"2804 Prairie Lakes Dr Ste 106, Sun Prairie",1,American,Macs,(608) 318-8823,53590
"210 US Hwy 51, Arlington",2,"American,Burger,Bar Food",Lockwood's Longshot,(608) 635-7790,53911
"745 N High Point Rd, Madison",1,Mexican,El Burrito Loco,(608) 203-9670,53717
1525 North Stoughton Road,1,"Breakfast,Burger,Bar Food",Club Lamark,(608) 244-4004,53704
"3113 Syene Rd, Madison",1,Sandwich,Jacobsen Brothers Meat & Deli,(608) 271-4998,53713
"201 W Fulton St, Edgerton",1,"Italian,Pizza",Mario's Pizza,(608) 884-9488,53534
"115 West Fulton Street, Edgerton",1,"Burger,Bar Food,Sandwich",Two Brothers,(608) 884-3088,53534
1403 Emil Street,1,Sandwich,Firehouse Subs,,53713
"317 N Bassett St, Madison",1,Southern,JD's Soul Food,(608) 467-6196,53703
"2009 Freeport Rd, Madison",1,"American,Burger",Bennett's Meadowwood Country,(608) 271-3827,53711
"209 North Main Street, Monticello",4,,The Dining Room at 209 Main,(608) 938-2200,53570
"15 N Main St, Deerfield",1,"American,Bar Food",Deerfield Pub & Grill,(608) 764-8353,53531
"2401 Parmenter St, Middleton",1,Bar Food,Paul's Neighborhood Bar,(608) 827-7285,53562
"6895 Paoli Road, Belleville",1,"American,Breakfast",Paoli Cafe,(608) 845-3663,53508
"610 Corner St, Lodi",2,"American,BBQ",Lucy's Family Restaurant,(608) 592-3000,53555
"5506 University Ave, Madison",1,Desserts,Barbie's Homemade Cookies,(608) 238-2578,53705
912 East. Johnson Street,2,Pizza,Salvatore's Tomato Pies,(608) 238-6040,53703
"554 N. Midvale Blvd, Madison",1,Desserts,Gigi's Cupcakes,(608) 661-7465,53705
"5344 Hwy 113, Madison",1,"American,Burger",Murphy's Bar and Restaurant,(608) 661-0821,53704
"604 University Ave, Madison",1,"Mexican,California",Taco Bros,(608) 422-5075,53715
"523 State St, Madison",2,American,Mondays,(608) 251-1020,53703
"3809 Mineral Point Rd, Madison",1,French,Etes Vous Prets,(608) 236-9690,53705
"5227 University Avenue, Madison",1,Coffee and Tea,Moka,(608) 236-9070,53705
682 South Grand Avenue,1,Pizza,Pizza Ranch,(608) 825-6900,53590
"602 W North St, De Forest",1,Pizza,Casey's Carry Out Pizza,(608) 846-4967,53532
"4711 Farwell St, McFarland",1,"Burger,Pizza",Spartan Bowl,(608) 838-8014,53558
"88 Hawks Landing Circle, Verona",2,"Burger,Bar Food,Sandwich",The Tap Room,(608) 848-5751,53593
"N6947 State Rd 89, Lake Mills",1,,Lake Oasis Family Restaurant,(920) 648-6610,53551
"N1434, Fair St., Lodi",1,Bar Food,KD's,(608) 592-4696,53555
"117 E Main St, Waunakee",1,Bar Food,Ripp's Bar,(608) 849-4302,53597
"900 E Broadway, Monona",1,Sandwich,Joe's Fire Station,(608) 222-5788,53716
"1310 S Midvale Blvd, Madison",1,"Coffee and Tea,Sandwich",Le Petit Croissant,(608) 515-7901,53711
"313 W. Johnson Street, Madison",4,"Spanish,Tapas",Estrellon,(608) 251-2111,53703
6913 University Avenue,1,Indian,Amber Indian Cuisine,,53562
"419 State St, Madison",1,"Mediterranean,Middle Eastern",Palmyra Mediterranean Grill,,53703
"100 S Ludington St, Columbus",1,"Coffee and Tea,Ice Cream",Sharrow's Downtown,(920) 623-2701,53925
"555 State Street, Madison",1,,Naf Naf Grill,(608) 286-1242,
"6712 Frank Lloyd Wright Ave, Middleton",1,Desserts,Menchie's Frozen Yogurt,(608) 836-1212,53562
"29 Sherman Ave W, Fort Atkinson",1,Bar Food,Belmont Casino,(920) 563-4646,53538
"208 W North St, De Forest",1,American,Timbers,(608) 846-5575,53532
"115 E Racine St, Jefferson",1,,Bon Ton Bakery,(920) 674-3262,53549
"207 Water St, Sauk City",2,"Pizza,Sandwich",Windmill Pizzeria & Sourdough Co.,(608) 206-9096,53583
"N3233 Seier Rd, Fall River",2,"Diner,Seafood",Casino Supper Club,(920) 484-3378,53932
"801 N Main St Ste D, Lodi",1,Coffee and Tea,Coffee Grounds of Lodi,(608) 592-7300,53555
"7850 Mineral Point Road, Madison",2,Pizza,Topper's Pizza,(608) 819-5555,53717
"107 S Main St, Lake Mills",1,,T T's Timeout,(920) 648-3013,53551
"W4764 Edelweiss Rd, New Glarus",1,German,Edelweiss Chalet Country Club,(608) 527-2315,53574
"8 American Legion St, Mazomanie",1,Sandwich,R & J's Saloon,(608) 795-2251,53560
"7914 State Route 19, Dane",1,American,Whippoorwill/Hawks Nest,(608) 798-9991,53529
"207 W Main St, Barneveld",1,Breakfast,Buzz Inn Cafe,(608) 924-1141,53507
"2910 E Washington Ave, Madison",1,Coffee and Tea,Moka,(608) 442-6651,53704
"232 E Olin Ave, Madison",1,American,Coliseum Bar,(608) 251-2434,53713
"706 John Nolen Dr. (in the Sheraton Madison Hotel), Madison",3,American,Heartland Grill,(608) 251-2300,53713
633 South Gammon Road,1,Fast Food,Wendy's,(608) 271-8789,53719
"1421 Regent st., Madison",1,Bar Food,Luckys bar and grille,(608) 250-8989,53711
"320 W Broadway, Madison",1,American,Waypoint Public House,(608) 222-3900,53716
"1207 N Sherman Ave, Madison",1,"Pizza,Sandwich",Falbo Bros. Pizzeria,(608) 204-2723,53704
"700 State St, Madison",1,Asian,Umami Food Cart,(608) 819-6319,53703
"2086 Atwood Ave, Madison",2,Desserts,Gail Ambrosius Chocolatier,(608) 249-3500,53704
"N9229 Old Madison Rd, New Glarus",1,,Sweet Street Bakery,(608) 527-2253,53574
"129 N Main St, Lake Mills",1,"American,Burger,Bar Food",Sportman's Pub On The Park,(920) 648-5061,53551
"124 West Main St, Stoughton",1,"Desserts,Pizza,Sandwich",Stoughton Cinema Cafe,(608) 873-7484,53589
"957 Liberty Drive, Madison",1,"Italian,Pizza",Sugar River Pizza,(608) 497-1800,53593
"1616 Beld Street, Madison",2,"Mexican,Southern,Fast Food",Naty's Fast Food,(608) 709-6745,53715
"30 W Main St, Belleville",1,"American,Diner",Corner Cafe,(608) 424-1714,53508
"100 State St, Madison",1,American,Curd Girl,(608) 555-5555,53703
"1859 Monroe Street, Madison",1,Coffee and Tea,Crescendo Espresso Bar + Music Cafe,(608) 284-7908,53711
"703 University Ave, Madison",1,"American,Breakfast",Fresh Madison Market,(608) 287-0000,53715
"1019 Williamson St, Madison",1,,Nature's Bakery Cooperative,(608) 257-3649,53703
"100 Front St, Milton",1,"Breakfast,Burger,Coffee and Tea",Deb's Squeeze Inn,(608) 868-4849,53563
"317 State St Ste A, Madison",1,Irish,Irish Pub,(608) 256-6071,53703
"430 N. Midvale Blvd (Hilldale Mall), Madison",2,,Taste of Sundance Rooftop Bar,(608) 316-6900,53705
"1 W. Dayton St., Madison",1,American,Concourse Hotel Bar,(608) 257-6000,53703
"300 E Holum St, Deforest",1,"American,Pizza,Bar Food",Bb Jacks,(608) 846-9000,53532
"205 West Fulton St, Edgerton",1,Diner,West End Diner,(608) 884-3726,53534
"100 Main St., Sun Prairie",2,Bar Food,Ski's Saloon,(608) 318-0994,53590
"124 W Rockwell St, Jefferson",1,Pizza,Towne Inn,(920) 674-2547,53549
"N3536 County Road K, Jefferson",1,Bar Food,Lou's Riverview,(920) 674-9980,53549
"1843 US Highway 12 And 18, Deerfield",1,American,Nora's Two,(608) 764-5746,53531
"666 Wisconsin Avenue, Madison",3,"American,Sandwich",The Pier Bar & Cafe,(608) 256-9071,53703
"W7655 County Trunk V, Lake Mills",1,"Greek,Pizza,Sandwich",Pizza Pit,(920) 648-4333,53551
"516 Plaza Dr, Marshall",1,,Plaza Cafe & Restaurant,(608) 655-1967,53559
"123 W Milwaukee St, Jefferson",1,"American,Burger",Rock Bottom Bar & Grill,(920) 675-1950,53549
"2920 Fitchrona Rd, Fitchburg",2,American,Hy Vee - Market Grille,(608) 273-5120,53719
"403 W High St, Milton",1,"American,Pizza",Red Zone,(608) 868-9126,53563
"5000 N. Sherman Ave., Madison",1,,Cherokee Country Club,(608) 249-1000,53704
"406 2ND St, New Glarus",1,Bar Food,Ott Haus Pub & Grill,(608) 527-2218,53574
"E12603 Kilpatrick Point Dr, Merrimac",1,American,Dockside on Lake Wisconsin,(608) 643-5159,53561
"127 W Main St, Belleville",1,"American,Burger,Bar Food",J & M Bar,(608) 424-3441,53508
"N5196 Watertown Rd, Jefferson",1,American,Capn's Catering LLC,(920) 674-5782,53549
"506 E. Badger Rd., Madison",1,,Badger Bowl,(608) 274-6662,53713
"Hometown Circle, Verona",1,"Burger,Bar Food",Mr. Brews Taphouse,(608) 845-2280,53593
"N1551 Sunset Dr, Lodi",1,Pizza,Rocky Rococo,(608) 592-1551,53555
"216 US Hwy 14, Arena",1,American,Grandma Mary's Cafe,(608) 753-2151,53503
"6005 Monona Dr., Madison",1,Mexican,Super Tienda Latina,(608) 221-2203,53716
"516 S Park St, Madison",1,Bar Food,Rustic Tavern,(608) 256-9538,53715
"251 Depot, Footville",2,American,Village Inn,(608) 876-6511,53537
"57 S Stoughton Rd, Madison",1,"Breakfast,Sandwich",Sundown Saloon,(608) 242-9646,53714
"W3408 State Road 16, Rio",1,"American,Bar Food",Dorothy's Rainbow Inn,(920) 992-6036,53960
"1302 Williamson St, Madison",1,American,Crystal Corner Bar,(608) 256-2953,53703
"258 Corporate Dr Ste 205, Madison",1,American,Perkins Family Restaurant,(608) 241-2444,53714
"5278 John Wilkinson Rd., Mazomanie",1,,Lucy Lou's Cupcakes,(608) 535-0641,53560
"736 Madison Ave, Fort Atkinson",1,Coffee and Tea,True Brew Espresso Bar,(920) 397-6677,53538
"971 Janesville St, Oregon",2,"Italian,Pizza",La Rocca's,(608) 291-0522,53575
"2952 Fish Hatchery Rd, Fitchburg",1,American,Schneid's Sports Bar & Grill,(608) 271-3644,53713
"151 E Main St, Stoughton",1,Diner,Sonny's,(608) 873-4422,53589
"7071 Kickaboo Rd, Waunakee",1,Bar Food,Missouri Tavern,(608) 836-0009,53597
"227 S Main St, Cottage Grove",1,"American,Bar Food",Out Post,(608) 839-5205,53527
"117 W Mifflin St, Madison",1,Bar Food,Silver Dollar Tavern,(608) 255-7548,
"4605 Monona Dr, Monona",1,American,Snicks Sportsmans Bar LLC,(608) 442-5620,53716
"1407 2ND St, New Glarus",1,"American,Breakfast",Town Edge Restaurant,(608) 527-2972,53574
"116 5th Ave, New Glarus",1,"Burger,Pizza,Bar Food",Kleeman's Bar & Grill LLC Bars,(608) 527-5499,53574
"336 Portland Rd, Waterloo",1,American,Cindy Lou's Cafe,(920) 478-2155,53594
"2630 County Rd N, Stoughton",2,Pub Food,Pleasant Springs Pub,(608) 719-8369,53589
"2517 Advance Rd, Madison",1,,Jerry's Hot Dog's & Brats,(608) 223-9544,53718
"6810 N County Rd B, Lake Mills",2,American,Moe's Place,(920) 648-3470,53551
"348 Liguori Rd, Edgerton",1,Bar Food,Oberg's Bar,(608) 884-9944,53534
101 King Street,2,Pizza,Lucille,,53703
"6617 Odana Rd, Madison",3,"American,Healthy Food,Bar Food",Twist Bar & Grill,(608) 833-0110,53719
"711 State St, Madison",1,"American,Burger,Sandwich",Slide Food Cart,(608) 630-4824,53703
"5441 High Crossing Blvd, Madison",1,Sandwich,Diggity's,(608) 242-1888,53718
"116 S Hamilton St, Madison",1,"Burger,Bar Food,Sandwich",Corral Room,(608) 256-3570,53703
"984 Cth A, Edgerton",3,"American,Steak",Coachman's Golf Resort,(608) 884-8484,
"2304 S Park St, Madison",1,,Lane's Bakery & Coffee,(608) 251-0532,53713
1311 Madison Avenue,1,"Fast Food,Pizza",Domino's Pizza,(920) 563-5663,53538
"756 E Washington Ave, Madison",1,,Star Bar,,53703
"5207 Rustic Way, Mc Farland",1,,Chris's Confections,(608) 838-6028,53558
"3737 County Road Ab, Mc Farland",1,"American,Bar Food",Country Corners,(608) 222-2077,53558
"1801 E State Road 59, Milton",2,American,Countryside Inn,(608) 868-7833,53563
"711 W Racine St, Jefferson",1,American,Fairview Sports Bar & Grill,(920) 674-6120,53549
"13 Swift St, Edgerton",1,Bar Food,Pit Stop of Edgerton,(608) 884-4032,53534
"444 Grand Canyon Dr, Madison",1,"American,Pizza",Pizza Oven,(608) 833-7272,53719
"2116 Atwood Ave, Madison",1,Burger,Mr Robert's,(608) 249-1660,53704
"14 Brodhead St, Mazomanie",1,French,Walls Treet Gallery & Bistro,(608) 576-6694,53560
"430 N. Midvale Blvd., Madison",1,,Caffe 608,(608) 316-6900,53705
