Name,PhoneNumber,Address,CostRange,Cuisine
Subway,(608) 834-0880,1905 McCoy Rd,1,"Sandwiches,Fast Food"
Growlers Bar & Grille,(608) 244-4703,4402 E Washington Ave,1,"Bars,American (Traditional)"
Pizza Hut,(608) 849-8484,300 N Century Ave,1,"Pizza,Italian,Chicken Wings"
Milio’s Sandwiches,(608) 848-7827,1011 N. Edge Trail,1,Sandwiches
KFC,(608) 837-4040,1070 Emerald Ter,1,"Fast Food,Chicken Wings,Chicken Shop"
Papa Murphy’s,(608) 663-9655,115 East Broadway,1,Pizza
Arby’s,(608) 257-3905,1609 S Park St,1,"Fast Food,Sandwiches"
Gypsy Kitchen,(404) 939-9840,3035 Peachtree Rd NE,1,"Moroccan,Tapas/Small Plates,Spanish"
Kobe Steakhouse,(770) 559-5266,2080 Henderson Mill Rd NE,1,"Sushi Bars,Thai,Japanese"
Mezza Luna,(770) 319-0333,1669 Spring Rd SE,1,"Italian,Wine Bars,Seafood"
Poke Bar,(404) 343-0424,6615 Roswell Rd NE,1,"Poke,Sushi Bars"
Egg Harbor Café,(470) 225-1901,1820 Peachtree Road NW,1,"Breakfast & Brunch,Gluten-Free,Sandwiches"
Taco Cantina,(678) 424-1826,2517 Spring Rd,1,"Mexican,Latin American,Tapas Bars"
Doggy Dogg,,310 E Howard,1,"Street Vendors,Hot Dogs,Caterers"
Liberty Pizza,(770) 693-3940,1275 Powers Ferry Rd,1,"Pizza,Italian,Beer Bar"
South City Kitchen Midtown,(404) 873-7358,1144 Crescent Ave NE,1,"Southern,Breakfast & Brunch"
Brick Store Pub,(404) 687-0990,125 E Court Sq,1,"Pubs,American (Traditional)"
BoccaLupo,(404) 577-2332,753 Edgewood Ave NE,1,"Italian,American (Traditional)"
Tassili’s Raw Reality,(404) 343-6126,1059 Ralph D Abernathy Blvd,1,Live/Raw Food
Buttermilk Kitchen,(678) 732-3274,4225 Roswell Rd NE,1,"Breakfast & Brunch,Southern,American (New)"
Embilta Café & Restaurant Ethiopian Cuisine,(404) 254-4170,2100 Cheshire Bridge Rd,1,Ethiopian
Steel City Pops - Decatur,(678) 996-1380,312 Church St,1,"Desserts,Ice Cream & Frozen Yogurt,Gluten-Free"
Bones,(404) 237-2663,3130 Piedmont Rd NE,1,Steakhouses
Herban Fix - Vegan Kitchen,(404) 815-8787,565-A Peachtree St NE,1,"Vegan,Vegetarian,Asian Fusion"
Taqueria San Pancho,(770) 493-9845,4880 Lawrenceville Hwy,1,Mexican
Rice n’ Pie,(770) 302-0320,3980 Peachtree Industrial Blvd,1,"Pizza,Indian,Asian Fusion"
gusto!,(404) 330-8114,782 Ponce De Leon Ave NE,1,"Salad,American (New),Fast Food"
D’Cuban Cafe,(770) 447-0877,6200 Buford Hwy Kl,1,"Cuban,Latin American"
BullGogi,(470) 305-7522,2140 N Decatur Rd,1,"Poke,Korean,Asian Fusion"
26 Thai Kitchen & Bar,(404) 400-5995,541 Main St NE,1,"Thai,Bars"
Brockett Pub House & Grill,(770) 938-1080,4522 East Ponce De Leon Ave,1,"American (Traditional),Pubs"
LottaFrutta - Atlanta,(404) 588-0857,590 Auburn Ave NE,1,"Breakfast & Brunch,Caribbean,Sandwiches"
E. 48th Street Market,(770) 392-1499,2462 Jett Ferry,1,"Italian,Delis"
Fox Bros. Bar-B-Q,(404) 577-4030,1238 Dekalb Ave Ne,1,"Barbeque,American (Traditional)"
Yuzu sushi,(678) 691-3001,5193 Peachtree Blvd,1,"Japanese,Sushi Bars"
Kitchen Six,(404) 330-8336,2751 Lavista Rd,1,"Southern,American (New)"
Bole Ethiopian Restaurant,(470) 419-2960,1650 Virginia Ave,1,Ethiopian
EATaliano Kitchen,(404) 321-2111,2480 Briarcliff Rd NE,1,Italian
Poke Burri,(470) 265-0778,477 Flat Shoals Ave SE,1,"Sushi Bars,Poke,Seafood"
Chama Gaucha Brazilian Steakhouse,(404) 842-0011,3365 Piedmont Rd NE,1,"Steakhouses,Brazilian,Venues & Event Spaces"
Marrakech Express,(770) 568-0548,477 Flat Shoals Ave SE,1,"Moroccan,Mediterranean"
Golden Drops Café,(404) 968-9981,1788 Clairmont Rd,1,"Coffee & Tea,Breakfast & Brunch,Brazilian"
Porch Light Latin Kitchen,(678) 309-9858,300 Village Green Cir SE,1,Latin American
Mushi Ni,(404) 405-6005,477 Flat Shoals Ave SE,1,"Asian Fusion,Pan Asian,Food Stands"
Siamese Basil Thai Restaurant,(770) 242-4015,6034 S Norcross Tucker Rd,1,Thai
Desta Ethiopian Kitchen,(404) 929-0011,3086 Briarcliff Rd NE,1,"Ethiopian,Desserts,Sandwiches"
Eight Sushi Lounge,(404) 796-8888,930 Howell Mill Rd NW,1,"Sushi Bars,Lounges,Japanese"
Atlanta Breakfast Club,(470) 428-3825,249 Ivan Allen Jr Blvd,1,"Breakfast & Brunch,American (Traditional)"
Purnima Bangladeshi Cuisine,(770) 609-8587,4646 Buford Hwy NE,1,"Indian,Bangladeshi,Halal"
Hoboken Cafe on Whitlock,(678) 909-3375,688 Whitlock Ave,1,Italian
Louisiana Bistreaux,(404) 762-6755,1375 Virginia Ave,1,"Cajun/Creole,Seafood"
Cupanion’s Kitchen & Coffee,(770) 376-8940,4920 Roswell Rd,2,
The Marietta Local,(770) 794-2299,148 Roswell St NE,1,"Breakfast & Brunch,Sandwiches"
Canoe,(770) 432-2663,4199 Paces Ferry Rd SE,1,"American (New),Seafood,Breakfast & Brunch"
Poor Calvin’s,(404) 254-4051,510 Piedmont Ave NE,1,"Asian Fusion,Southern,Comfort Food"
gusto!,(404) 352-4157,1935 Peachtree Rd NE,1,"American (New),Mediterranean,Fast Food"
Heirloom Market BBQ,(770) 850-1008,2243 Akers Mill Rd SE,1,"Barbeque,Desserts,Korean"
The Food Shoppe,(404) 600-8443,123 Luckie St NW,1,"Cajun/Creole,Breakfast & Brunch"
Tacos La Villa,(770) 951-0415,2415 Cobb Pkwy SE,1,Tacos
Jinya Ramen Bar,(404) 254-4770,3714 Roswell Rd,1,"Ramen,Noodles"
Fogo de Chão Brazilian Steakhouse,(404) 266-9988,3101 Piedmont Rd,1,"Brazilian,Steakhouses"
Home Grown,(404) 222-0455,968 Memorial Dr SE,1,Southern
Bleu House,(678) 527-6278,62 College St,1,"Sandwiches,Southern,Barbeque"
Buford Highway Farmers Market,(770) 455-0770,5600 Buford Hwy NE,1,"Farmers Market,Cafeteria"
Ticonderoga Club,(404) 458-4534,99 Krog St NE,1,"Cocktail Bars,American (Traditional)"
Marcel,(404) 665-4555,1170 Howell Mill Rd,1,Steakhouses
Mediterranea,(404) 748-4219,332 Ormond St SE,1,"Mediterranean,Bakeries,Breakfast & Brunch"
Kingston Grill,(404) 458-3968,1105 Main St,1,Caribbean
Lickety Split Southern Kitchen & Bar,(404) 963-5009,1155 Virginia Ave,2,
Oy!,(770) 989-1901,2355 Cumberland Pkwy SE,1,"Breakfast & Brunch,Burgers,American (New)"
Mojito’s Cuban-American Bistro,(770) 441-2599,35 S Peachtree St NW,1,"Cuban,American (New),Seafood"
Upbeet,(404) 347-1071,1071 Howell Mill Rd,1,"Salad,Juice Bars & Smoothies,Vegan"
Hankook Taqueria,(404) 352-8881,1341 Collier Rd NW,1,"Mexican,Korean,Asian Fusion"
Cafe Agora Midtown,(404) 253-2997,92 Peachtree Pl NE,1,Mediterranean
Showcase Food Gallery,(404) 600-4067,3183 Main St,1,"American (New),Soul Food,Italian"
Little’s Food Store and Grill,(404) 963-7012,198 Carroll St,1,"Grocery,Beer, Wine & Spirits,Burgers"
Julianna’s Crepes,(404) 436-1825,775 Lake Ave,1,"Creperies,Desserts,Breakfast & Brunch"
PONKO Chicken,(855) 967-6656,2896 Chamblee Tucker Rd,1,"American (New),Asian Fusion,Japanese"
Chase’s Grille And Wingery,(770) 449-0229,125 Lawrenceville St,1,"Chicken Wings,American (Traditional),Burgers"
Umi,(404) 841-0040,3050 Peachtree Rd,1,Sushi Bars
Kimball House,(404) 378-3502,303 E Howard Ave,1,"American (New),Cocktail Bars"
Bulla Gastrobar,(404) 900-6926,60 11th St NE,1,"Spanish,Gastropubs,Tapas Bars"
Aamar Indian Cuisine,(404) 257-6959,100 Luckie St NW,1,"Indian,Halal"
Ba Bellies,(770) 710-0565,6025 Peachtree Pkwy,1,"Asian Fusion,Gastropubs"
Tava Indian Bistro,(404) 343-2710,1685 Church St,1,Indian
Budi’s Sushi,(404) 907-4500,349 Decatur St SE,1,"Sushi Bars,Asian Fusion,Ramen"
Arepa Mia,(404) 880-8575,209 Edgewood Ave SE,1,"Gluten-Free,Venezuelan"
il Giallo Osteria & Bar,(404) 709-2148,5920 Roswell Rd B -118,1,"Bars,Italian"
Bezoria,(770) 372-1917,2860 Cumberland Mall SE,1,"Mediterranean,Middle Eastern"
Duck Donuts,(404) 600-5699,3655 Roswell Rd NE,1,"Donuts,Coffee & Tea,Breakfast & Brunch"
Real Subs Cafe,(678) 424-8660,4340 E W Connector,1,"Sandwiches,Wraps"
Ecco- Midtown,(404) 347-9555,40 7th St NE,1,"Modern European,Cocktail Bars,Italian"
La Grotta Ristorante Italiano,(404) 231-1368,2637 Peachtree Rd NE,1,Italian
Superica,(678) 791-1310,99 Krog St,1,Tex-Mex
Drip,(404) 228-4240,601 N Central Ave,1,"Coffee & Tea,Breakfast & Brunch,Sandwiches"
Chai Pani,(404) 378-4030,406 W Ponce De Leon Ave,1,Indian
Chong Qing Hot Pot,(770) 936-1379,5385 New Peachtree Rd,1,"Seafood,Soup,Asian Fusion"
Alma Cocina,(404) 968-9662,191 Peachtree St NE,1,"Latin American,Mexican,Bars"
Casi Cielo,(404) 549-9411,6125 Roswell Rd,2,
So Kong Dong Tofu House,(678) 205-0555,5280 Buford Hwy NE,1,Korean
Tanaka Ramen,(404) 254-1166,205 Town Blvd,1,"Asian Fusion,Ramen"
Ssam Burger,(404) 609-5533,2072 Defoors Ferry Rd NW,1,"Burgers,Asian Fusion"
Poor Hendrix,(404) 549-8756,2371 Hosea L Williams Dr NE,1,"American (New),Bars,Tapas/Small Plates"
I Juice & Smoothies,(404) 288-3733,1948 Wesley Chapel Rd,1,"Vegan,Juice Bars & Smoothies,Ice Cream & Frozen Yogurt"
The Little Farmhouse Cafe,(404) 809-0380,3795 Presidential Pkwy,1,"Cafes,Sandwiches,Breakfast & Brunch"
JINYA Ramen Bar,(404) 600-6974,5975 Roswell Rd,1,Ramen
Cafe Sababa - Mediterranean Grill,(678) 705-8268,4639-D N Shallowford Rd,1,"Mediterranean,Middle Eastern"
Stockyard Burgers and Bones,(678) 503-2760,26 Mill St,1,"American (New),Beer, Wine & Spirits"
Egg Harbor Café,(404) 389-9915,5920 Roswell Road,1,"Breakfast & Brunch,Gluten-Free,Sandwiches"
The Optimist,(404) 477-6260,914 Howell Mill Rd,1,"Seafood,Cocktail Bars,Music Venues"
Arhiboo Shawarma,(678) 732-0079,4865 Memorial Dr,1,"Mediterranean,Salad,Middle Eastern"
D 92 Korean BBQ,(678) 973-2454,225 E Trinity Pl,2,
K BBQ Taco,(404) 377-8031,105 Clairemont Ave,1,"Korean,Asian Fusion"
Com Vietnamese Grill Restaurant,(404) 320-0405,4005 Buford Hwy NE,1,Vietnamese
Spring,(678) 540-2777,36 Mill St,1,American (New)
Cafe Sunflower Buckhead,(404) 352-8859,2140 Peachtree Rd,1,"Vegetarian,Salad,Vegan"
Rumi’s Kitchen,(404) 477-2100,6112 Roswell Rd NE,1,"Persian/Iranian,Cocktail Bars"
South City Kitchen Buckhead,(404) 815-6677,3350 Peachtree Rd NE,1,Southern
Nick’s Food To Go,(404) 521-2220,240 Martin Luther King Jr Dr SE,1,"Greek,Burgers,Mediterranean"
Secreto Southern Kitchen & Bar,(470) 395-8989,3575 Durden Dr NE,1,
Joy Cafe,,1100 Peachtree St NE,1,"Breakfast & Brunch,Cafes,Southern"
Botiwalla,(470) 225-8963,675 Ponce De Leon Ave NE,1,Indian
The Crossing Steak House,(678) 280-9081,40 S Peachtree St,1,"Seafood,Steakhouses,Bars"
Bezoria,(404) 464-5190,903 Peachtree St NE,1,"Mediterranean,Middle Eastern,Salad"
bartaco,(404) 607-8226,969 Marietta St NW,1,"Mexican,Tapas Bars"
JCT Kitchen & Bar,(404) 355-2252,1198 Howell Mill Rd,1,Southern
Café 458 Brunch,(470) 377-5556,458 Edgewood Ave NE,1,"Breakfast & Brunch,Cafes,Coffee & Tea"
The Corner Grille,(404) 767-1135,3823 Main St,1,"Breakfast & Brunch,Cajun/Creole,American (New)"
Jack’s New Yorker Deli,(404) 799-8500,4691 Atlanta Rd,1,"Delis,Sandwiches,Breakfast & Brunch"
Bacchanalia,(404) 365-0410,1460 Ellsworth Industrial Blvd NW,1,American (New)
endive Publik house,(404) 504-9044,1468 Mecaslin St NW,1,American (New)
La Cubana,(470) 308-0550,45 S Marietta Pkwy,1,Cuban
Fat Matt’s Rib Shack,(404) 607-1622,1811 Piedmont Ave NE,1,Barbeque
The Bowl,(770) 702-1129,369 Cobb Pkwy S,1,"Japanese,Asian Fusion"
Tuza Taco,(404) 343-4088,1523 Howell Mill Rd,0,
Taco T,(770) 438-6500,1065 Windy Hill Rd,1,Mexican
Taqueria Tsunami,(678) 324-7491,70 S Park Sq,1,"Mexican,Asian Fusion"
No Gluten,(470) 440-7678,1355 Rock Mountain Blvd,1,"Gluten-Free,Bakeries,Kosher"
Fred’s Meat & Bread,,99 Krog St NE,1,"Burgers,Sandwiches,Cheesesteaks"
Mamak,(678) 395-3192,5150 Buford Hwy,1,"Malaysian,Chinese"
Vortex Bar & Grill,(404) 688-1828,438 Moreland Ave NE,1,"American (Traditional),Bars"
Holeman & Finch,(404) 948-1175,2277 Peachtree Rd NE,1,"Gastropubs,Cocktail Bars"
Sweet Hut Bakery & Cafe,(470) 545-2585,5150 Buford Hwy,1,"Cafes,Bakeries,Desserts"
Twisted Soul Cookhouse & Pours,(678) 619-3635,1133 Huff Rd NW,1,"Soul Food,Desserts,Southern"
Eclipse Di Luna,(404) 846-0449,764 Miami Cir NE,1,"Tapas Bars,Spanish"
The Manchester Arms,(404) 763-9980,1705 Virginia Ave,1,"British,Pubs"
Pub Ten,(678) 691-5041,5270 Peachtree Pkwy,1,"American (Traditional),Bars"
Moxie Burger,(770) 627-3201,255 Village Pkwy NE,1,"Burgers,American (New)"
Babette’s Cafe,(404) 523-9121,573 N Highland Ave NE,1,"French,Modern European,Italian"
Sweet Auburn BBQ,(678) 515-3550,656 N Highland Ave NE,1,"Barbeque,Sandwiches,Asian Fusion"
Folk Art,(404) 537-4493,465 N Highland Ave NE,1,"American (Traditional),Breakfast & Brunch,Southern"
Pho Hoang Long,(770) 384-0530,371 Pat Mell Rd,1,"Vietnamese,Noodles"
Frank’s Cajun & Soul Kitchen,(678) 383-6703,1175 Powder Springs St SW,1,"Cajun/Creole,Soul Food,Barbeque"
Taqueria Los Hermanos,(678) 937-0660,4418 Hugh Howell Rd,1,Mexican
Paul’s Pot Pies,(770) 428-6092,10 Mill St NE,1,"Cafes,Specialty Food"
Zunzi’s Takeout & Catering,(470) 698-2351,1971 Howell Mill Rd,1,"Sandwiches,Caterers,South African"
a mano,(404) 549-7727,587 Ralph McGill Blvd NE,1,"Italian,Cocktail Bars,Pop-Up Restaurants"
Tin Lizzy’s Cantina,(404) 554-8220,415 Memorial Dr,1,"Mexican,Tex-Mex"
Chido & Padre’s,(404) 848-9100,128 E Andrews Dr NW,1,"Mexican,Bars"
Elbow Room Bar,(404) 231-3308,248 Pharr Rd NE,1,"Pizza,Dive Bars,Sports Bars"
Kiosco,(678) 337-7999,48 Powder Springs St,1,Colombian
Tropical Caribbean Cuisine,(770) 582-6682,3375 Holcomb Bridge Rd,1,Caribbean
R C’s Southern Cooking,(404) 946-8375,1516 Roswell Rd,1,"Southern,Soul Food"
Hattie B’s Hot Chicken - Atlanta,(678) 888-4884,299 Moreland Ave NE,1,"Southern,American (Traditional)"
Le Petit Marché,(404) 371-9888,1984 Hosea L Williams Dr,1,"Breakfast & Brunch,Sandwiches,Seafood"
Bismillah Cafe,(404) 634-5955,4022 Buford Hwy NE,1,"Indian,Halal,Bangladeshi"
The Iberian Pig,(404) 371-8800,121 Sycamore St,1,"Spanish,Tapas/Small Plates"
Cuban Diner,(770) 509-2576,1484 Roswell Rd,1,Cuban
Antico Pizza,(404) 724-2333,1093 Hemphill Ave NW,1,Pizza
Volare Bistro,(404) 503-6730,603 N Central Ave,1,"American (New),Wine Bars,Mediterranean"
Panbury’s Double Crust Pies,(404) 500-1279,209 Edgewood Ave SE,1,"British,Bakeries,South African"
Blossom Tree,(404) 223-7500,64 Peachtree St NW,1,Korean
Sean’s Harvest Market,(404) 565-6698,500 Amsterdam Walk,1,"Juice Bars & Smoothies,Sandwiches,Breakfast & Brunch"
Dulce Vegan Bakery and Cafe,(404) 624-7417,1994 Hosea L Williams Dr NE,1,"Vegan,Bakeries"
Bun Mi Vietnamese Grill,(678) 705-9156,2277 Peachtree Rd,1,"Vietnamese,Sandwiches,Noodles"
La Mei Zi,(770) 676-0225,5150 Buford Hwy,1,"Chinese,Taiwanese"
Stone Mountain Public House formerly Cafe JAYA,(678) 439-5292,947 Main St,1,"Cafes,Cigar Bars,Sports Bars"
Amara,(470) 305-7405,870 Inman Village Pkwy,1,"Indian,American (New)"
Pi-bytes,(404) 247-1895,937 Main St,1,"Desserts,Bakeries,Pizza"
Gunshow,(404) 380-1886,924 Garrett St,1,"American (New),Southern"
The Red Eyed Mule,(678) 809-4546,430 S Marietta Pkwy SE,1,"American (Traditional),Breakfast & Brunch"
Hovan Mediterranean Gourmet,(770) 396-1770,2148 Johnson Ferry Rd,1,"Mediterranean,Middle Eastern,Greek"
Good Karma Coffee House,(404) 499-0999,31 N Avondale Plz,1,"Coffee & Tea,Bakeries,Gluten-Free"
The White Bull,(404) 600-5649,123 E Court Square,1,American (New)
The Po’Boy Shop,(678) 974-8725,1369 Clairmont Rd,1,Cajun/Creole
The Capital Grille,(404) 262-1162,255 E Paces Ferry Rd NE,1,"Steakhouses,Seafood,Wine Bars"
Jerusalem Bakery & Restaurant,(770) 419-1666,1175 Franklin Gateway SE,1,"Bakeries,Middle Eastern,Delis"
Gyro Gyro,(770) 352-4976,5000 Winters Chapel Rd,1,"Greek,Burgers,Falafel"
Hajime,(470) 428-2388,2345 Cheshire Bridge Rd NE,1,"Ramen,Noodles"
Eats,(404) 888-9149,600 Ponce De Leon Ave NE,1,"Southern,Italian,Caribbean"
La Tavola Trattoria,(404) 873-5430,992 Virginia Ave NE,1,Italian
Kaiser’s Chophouse,(404) 549-2882,5975 Roswell Rd,1,"American (Traditional),Cocktail Bars"
Buenos Dias Cafe,(404) 584-0444,30 Decatur St SE,1,"Coffee & Tea,Juice Bars & Smoothies,Sandwiches"
Thumbs Up Diner,(404) 768-3776,1617 White Way,1,"American (Traditional),Breakfast & Brunch"
Southern Sweets Bakery,(404) 373-8752,186 Rio Cir,1,"Bakeries,Sandwiches,Breakfast & Brunch"
Cooks & Soldiers,(404) 996-2623,691 14th St,1,"Spanish,Basque"
Wrecking Bar Brewpub,(404) 221-2600,292 Moreland Ave NE,1,"Brewpubs,American (New)"
Lee’s Bakery,(404) 728-1008,4005 Buford Hwy NE,1,"Vietnamese,Sandwiches,Soup"
Seed Kitchen & Bar,(678) 214-6888,1311 Johnson Ferry Rd,1,"American (Traditional),Bars"
Dish Dive,(404) 957-7918,2233 College Ave NE,1,"American (New),Comfort Food"
Veda Juice Bar,(470) 355-3943,365 Peachtree Hills Ave NE,1,"Sandwiches,Acai Bowls,Juice Bars & Smoothies"
Community Q BBQ,(404) 633-2080,1361 Clairmont Rd,1,Barbeque
Zama Mexican Cuisine & Margarita Bar,(770) 485-5176,4600 W Village Way SE,1,"Mexican,Cocktail Bars"
ADios Cafe,(404) 574-5678,180 Walker St SW,1,"Coffee & Tea,Breakfast & Brunch,Desserts"
Merhaba Shawarma,(404) 228-2644,4188 E Ponce De Leon Ave,1,Mediterranean
Tassa Roti Shop,(770) 977-3163,224 Powers Ferry Rd SE,1,"Buffets,Trinidadian"
Righteous ‘Que,(678) 221-4783,1050 E Piedmont Rd,1,"Southern,Barbeque,Sandwiches"
St. Cecilia,(404) 554-9995,3455 Peachtree Rd NE,1,"Seafood,Italian"
Whiskey Bird,(404) 600-5797,1409 N Highland Ave NE,1,"American (New),Tapas/Small Plates,Breakfast & Brunch"
Sidechick,(404) 343-2532,125 Clairemont Ave,1,"Breakfast & Brunch,Sandwiches"
Big Dave’s Cheesesteaks,(678) 587-9253,5020 Winters Chapel Rd,1,"Cheesesteaks,Chicken Wings"
Candler Park Market,(404) 373-9787,1642 McLendon Ave NE,1,"Grocery,Beer, Wine & Spirits,Delis"
Food Terminal,(678) 353-6110,5000 Buford Hwy NE,1,"Malaysian,Asian Fusion,Breakfast & Brunch"
Agavero Cantina - Atlanta,(404) 464-5250,1133 Huff Rd NW,1,"Mexican,Seafood"
Casseroles,(404) 228-3260,1393 N Highland Ave,1,American (Traditional)
Pho Dai Loi,(404) 363-2423,4061 Jonesboro Rd,1,Vietnamese
Octane Westside,(404) 815-9886,1009 Marietta St NW,1,"Coffee & Tea,Cocktail Bars,Cafes"
Atwoods Pizza Cafe,(404) 748-9577,817 W Peachtree St NW,1,"Pizza,Breakfast & Brunch"
Taqueria Don Sige,(404) 762-8084,1720 Vesta Ave,1,Mexican
Nova Sushi Bar & Asian Bistro,(678) 732-3239,3637 Peachtree Rd,1,"Sushi Bars,Chinese,Japanese"
The Alden,(678) 395-6982,5070 Peachtree Blvd,1,American (New)
Agave Restaurant,(404) 588-0006,242 Blvd SE,1,Tex-Mex
Sushi Hayakawa,(770) 986-0010,5979 Buford Hwy,1,"Japanese,Sushi Bars"
Local Three,(404) 968-2700,3290 Northside Pkwy,1,"Breakfast & Brunch,American (Traditional),Bars"
Torched Hop Brewing,(404) 835-2040,249 Ponce De Leon Ave NE,1,"Gastropubs,Breweries,American (Traditional)"
Baldinos Giant Jersey Subs,(770) 455-8570,5697 Buford Hwy,1,Sandwiches
Deshi Street Bangladeshi Restaurant,(470) 246-4317,4337 Buford Hwy NE,2,
Cafe Agora,(404) 949-0900,318 E Paces Ferry Rd NE,1,"Turkish,Greek,Mediterranean"
La Carreta Hispanic Grocery and Taqueria,(770) 579-2963,1252 Roswell Rd,1,"Mexican,Grocery,Colombian"
Feedel Bistro,(404) 963-2905,3125 Briarcliff Rd NE,1,"Vegan,Vegetarian,Ethiopian"
Village Burger-Dunwoody,(770) 522-1600,1426 Dunwoody Village Pkwy,1,"Burgers,Hot Dogs,Salad"
Tortugas Cuban Grill,(470) 275-5599,3466 Holcomb Bridge Rd,1,"Cuban,Seafood,Sandwiches"
Kevin Rathbun Steak,(404) 524-5600,154 Krog St,1,"Steakhouses,Seafood"
Staplehouse,(404) 524-5005,541 Edgewood Ave SE,1,American (New)
Sally’s Gluten Free Bakery,(404) 847-0211,5920 Roswell Rd,1,"Bakeries,Gluten-Free,Desserts"
My Coffee Shop @ Eastlake,(404) 377-2227,2462 Memorial Dr SE,1,"Breakfast & Brunch,Coffee & Tea,American (Traditional)"
Fúdo,(678) 691-7088,5070 Peachtree Blvd,1,Sushi Bars
Crema Espresso Gourmet,(678) 731-9020,2458 Mt Vernon Rd,1,"Coffee & Tea,Sandwiches"
Pappadeaux Seafood Kitchen,(770) 849-0600,5635 Jimmy Carter Blvd,1,"Cajun/Creole,Seafood"
Marlow’s Tavern,(404) 815-0323,950 West Peachtree St,1,"Burgers,American (New),Gastropubs"
Ruchi Bangladeshi Cuisine,(678) 691-9270,4847 Peachtree Rd,1,"Indian,Halal,Caterers"
Ameer’s Mediterranean Grill,(404) 982-0666,2168 Briarcliff Rd NE,1,"Mediterranean,Middle Eastern"
Doughnut Dollies,(404) 365-5437,724 Cherokee St,1,"Breakfast & Brunch,Donuts"
Red Curry Thai Restaurant,(470) 228-0221,4724 Lower Roswell Rd,1,"Thai,Gluten-Free,Vegetarian"
Ah-Ma’s Taiwanese Kitchen,(404) 549-9848,931 Monroe Dr,1,"Taiwanese,Chinese"
Tannour Mediterranean Grill,(404) 873-1500,398 14th St NW,1,"Mediterranean,Halal,Lebanese"
Brandi’s World Famous Hot Dogs,(770) 422-3681,1377 Church St Ext NE,1,"Fast Food,Hot Dogs"
Baraka Shawarma,(404) 230-9232,68 Walton St NW,1,"Mediterranean,Indian"
Cafe Sunflower Sandy Springs,(404) 256-1675,5975 Roswell Rd NE,1,"Desserts,Juice Bars & Smoothies,Salad"
1KEPT Kitchen & Bar,(404) 254-1973,2293 Peachtree Rd NE,1,"Breakfast & Brunch,American (New),Southern"
Apres Diem,(470) 239-5006,931 Monroe Dr NE,1,"Bars,Restaurants"
Pappadeaux Seafood Kitchen,(770) 984-8899,2830 Windy Hill Rd SE,1,"Cajun/Creole,Seafood"
Tropical Smoothie Cafe,(678) 949-9324,2566 Briarcliff Rd NE,1,"Juice Bars & Smoothies,Sandwiches"
Two Birds Taphouse,(678) 324-7205,52 Powder Springs St,1,"Gastropubs,Beer Bar,Tapas/Small Plates"
Avellino’s,(404) 500-3841,1328 Windsor Pkwy,1,"Pizza,Italian"
BeetleCat,(678) 732-0360,299 North Highland Ave NE,1,"Seafood,Bars,Desserts"
Valenza,(404) 969-3233,1441 Dresden Dr NE,1,Italian
Lure,(404) 817-3650,1106 Crescent Ave NE,1,"Seafood,Breakfast & Brunch,Bars"
Leon’s Full Service,(404) 687-0500,131 E Ponce De Leon Ave,1,"Gastropubs,American (Traditional),Cocktail Bars"
Thai Restaurant of Norcross,(770) 938-3883,6065 S Norcross Tucker Rd,1,Thai
Abuelos Mexican Kitchen and Cantina,(404) 565-0410,6631 Roswell Rd,1,"Mexican,Seafood"
Growler Time,(770) 559-9563,2323 Main St,1,"Pubs,Pizza,Tapas/Small Plates"
El Super Pan,(404) 600-2465,675 Ponce De Leon Ave NE,1,"Latin American,Bars,Sandwiches"
Taqueria Don Chon,(404) 762-6864,616 S Central Ave,1,Mexican
Mandolin Kitchen,(404) 705-8880,6152 Roswell Rd NE,1,"Mediterranean,Salad,Kebab"
Highland Bakery,(404) 586-0772,655 Highland Ave NE,1,"Bakeries,Breakfast & Brunch,Sandwiches"
Sweet Hut Bakery & Cafe,(404) 600-4800,935 Peachtree St NE,1,"Coffee & Tea,Bakeries,Sandwiches"
Cypress Street Pint & Plate,(404) 815-9243,817 W Peachtree St NW,1,"American (New),Gastropubs,Chicken Wings"
Muss & Turner’s - Smyrna,(770) 434-1114,1675 Cumberland Pkwy,1,"American (New),Breakfast & Brunch"
South City Kitchen Vinings,(770) 435-0700,1675 Cumberland Pkwy SE,1,"Southern,Breakfast & Brunch,Wine Bars"
Ann’s Snack Bar,(404) 687-9207,1615 Memorial Dr,1,"Burgers,Hot Dogs"
Circle Poke,(404) 963-7721,1000 Northside Dr NW,1,"Poke,Asian Fusion,Japanese"
Sushi Mito,(770) 734-0398,6470 Spalding Dr,1,"Sushi Bars,Japanese"
Hopstix,(678) 888-2306,3404 Pierce Dr NE,1,"Breweries,Asian Fusion,Beer Bar"
Aria,(404) 233-7673,490 E Paces Ferry Rd NE,1,American (New)
Wagaya - Westside,(470) 575-5799,339 14th St NW,1,"Sushi Bars,Ramen,Seafood"
Barcelona Inman Park,(404) 589-1010,240 N Highland Ave NE,1,"Spanish,Tapas/Small Plates,Tapas Bars"
Rreal Tacos,(404) 458-5887,100 6th St NE,1,Tacos
Eclectic Bistro & Bar,(404) 907-4712,1425 Piedmont Ave NE,1,"American (New),Cocktail Bars"
No. 246,(678) 399-8246,129 E Ponce De Leon Ave,1,Italian
Pit Boss BBQ,(404) 768-0036,856 Virginia Ave,1,"Barbeque,Chicken Wings"
